invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_spent,year_month,age_group
I281274,C130479,Male,20,Clothing,1,300.08,Cash,09/04/2022,Kanyon,300.08,2022-04,18-25
I943072,C358486,Female,52,Cosmetics,2,81.32,Cash,02/03/2022,Metrocity,162.64,2022-03,41-60
I142738,C208738,Male,24,Clothing,4,1200.32,Credit Card,01/03/2021,Kanyon,4801.28,2021-03,18-25
I304665,C111056,Female,20,Food & Beverage,5,26.15,Credit Card,12/05/2021,Metropol AVM,130.75,2021-05,18-25
I247747,C101550,Male,35,Shoes,2,1200.34,Cash,01/11/2022,Istinye Park,2400.68,2022-11,26-40
I133197,C330779,Male,68,Cosmetics,2,81.32,Credit Card,02/04/2021,Forum Istanbul,162.64,2021-04,60+
I336817,C274936,Female,47,Clothing,1,300.08,Cash,08/03/2021,Cevahir AVM,300.08,2021-03,41-60
I216982,C269751,Female,48,Souvenir,4,46.92,Cash,01/02/2023,Metrocity,187.68,2023-02,41-60
I115679,C266462,Male,27,Clothing,1,300.08,Cash,01/10/2023,Kanyon,300.08,2023-10,26-40
I227707,C329163,Female,34,Shoes,4,2400.68,Cash,01/10/2022,Viaport Outlet,9602.72,2022-10,26-40
I238456,C305398,Female,65,Food & Beverage,1,5.23,Cash,08/06/2022,Kanyon,5.23,2022-06,60+
I169894,C165812,Female,19,Clothing,2,600.16,Cash,07/01/2021,Istinye Park,1200.32,2021-01,18-25
I183571,C339518,Female,31,Food & Beverage,1,5.23,Credit Card,02/07/2022,Metrocity,5.23,2022-07,26-40
I921232,C235057,Female,43,Toys,2,71.68,Cash,10/10/2021,Cevahir AVM,143.36,2021-10,41-60
I720017,C730395,Female,28,Food & Beverage,2,10.46,Credit Card,09/04/2022,Kanyon,20.92,2022-04,26-40
I306845,C605200,Female,46,Food & Beverage,4,20.92,Credit Card,09/02/2022,Mall of Istanbul,83.68,2022-02,41-60
I224122,C236428,Male,44,Clothing,5,1500.4,Credit Card,07/01/2022,Mall of Istanbul,7502,2022-01,41-60
I195735,C287459,Female,22,Clothing,1,300.08,Credit Card,09/08/2021,Kanyon,300.08,2021-08,18-25
I297539,C277924,Male,65,Food & Beverage,3,15.69,Credit Card,08/07/2021,Mall of Istanbul,47.07,2021-07,60+
I160687,C327001,Female,50,Clothing,2,600.16,Debit Card,07/12/2022,Istinye Park,1200.32,2022-12,41-60
I615452,C453635,Male,26,Shoes,1,600.17,Debit Card,03/06/2022,Metrocity,600.17,2022-06,26-40
I423782,C767634,Female,48,Cosmetics,2,81.32,Debit Card,04/08/2021,Mall of Istanbul,162.64,2021-08,41-60
I123315,C230018,Male,46,Clothing,2,600.16,Debit Card,04/01/2021,Zorlu Center,1200.32,2021-01,41-60
I959992,C241523,Male,55,Food & Beverage,3,15.69,Cash,07/01/2022,Metrocity,47.07,2022-01,41-60
I300847,C329153,Male,41,Toys,5,179.2,Credit Card,01/11/2022,Istinye Park,896,2022-11,41-60
I170966,C126702,Male,54,Food & Beverage,5,26.15,Credit Card,12/05/2022,Istinye Park,130.75,2022-05,41-60
I317354,C142943,Female,31,Clothing,1,300.08,Cash,11/10/2021,Metropol AVM,300.08,2021-10,26-40
I737965,C944366,Male,64,Clothing,5,1500.4,Cash,11/09/2022,Kanyon,7502,2022-09,60+
I194017,C462011,Female,67,Technology,5,5250,Cash,01/03/2022,Kanyon,26250,2022-03,60+
I120850,C204307,Female,54,Clothing,2,600.16,Credit Card,11/08/2021,Metrocity,1200.32,2021-08,41-60
I220285,C162871,Female,43,Food & Beverage,4,20.92,Credit Card,05/01/2022,Kanyon,83.68,2022-01,41-60
I125700,C244973,Male,49,Shoes,5,3000.85,Credit Card,06/10/2022,Forum Istanbul,15004.25,2022-10,41-60
I533062,C208765,Female,49,Clothing,3,900.24,Cash,05/12/2022,Mall of Istanbul,2700.72,2022-12,41-60
I200646,C155763,Female,49,Food & Beverage,2,10.46,Credit Card,03/05/2021,Kanyon,20.92,2021-05,41-60
I337094,C567509,Female,50,Technology,1,1050,Cash,02/09/2023,Zorlu Center,1050,2023-09,41-60
I191967,C266819,Male,63,Cosmetics,5,203.3,Credit Card,08/08/2022,Kanyon,1016.5,2022-08,60+
I304567,C317897,Male,30,Souvenir,2,23.46,Credit Card,03/08/2023,Forum Istanbul,46.92,2023-08,26-40
I232809,C545424,Male,66,Shoes,5,3000.85,Credit Card,10/02/2021,Metrocity,15004.25,2021-02,60+
I591015,C286181,Female,69,Clothing,1,300.08,Cash,09/12/2021,Metrocity,300.08,2021-12,60+
I162719,C402433,Male,53,Clothing,5,1500.4,Credit Card,12/11/2021,Emaar Square Mall,7502,2021-11,41-60
I289611,C222906,Female,45,Clothing,3,900.24,Debit Card,03/08/2023,Cevahir AVM,2700.72,2023-08,41-60
I217650,C236397,Female,47,Food & Beverage,3,15.69,Debit Card,02/10/2021,Forum Istanbul,47.07,2021-10,41-60
I214129,C309079,Female,36,Clothing,1,300.08,Debit Card,05/10/2021,Metrocity,300.08,2021-10,26-40
I300799,C116633,Female,61,Food & Beverage,3,15.69,Cash,03/06/2022,Metropol AVM,47.07,2022-06,60+
I252528,C333065,Male,47,Technology,5,5250,Debit Card,10/04/2022,Cevahir AVM,26250,2022-04,41-60
I147387,C211494,Female,38,Clothing,5,1500.4,Cash,11/04/2021,Mall of Istanbul,7502,2021-04,26-40
I186255,C302831,Female,41,Clothing,1,300.08,Credit Card,11/08/2022,Kanyon,300.08,2022-08,41-60
I160636,C812053,Female,53,Cosmetics,4,162.64,Cash,04/04/2022,Metropol AVM,650.56,2022-04,41-60
I258204,C167183,Female,54,Clothing,1,300.08,Credit Card,02/03/2023,Emaar Square Mall,300.08,2023-03,41-60
I183840,C246719,Female,18,Clothing,1,300.08,Credit Card,03/08/2022,Viaport Outlet,300.08,2022-08,18-25
I735039,C285422,Male,50,Clothing,1,300.08,Cash,08/01/2022,Metropol AVM,300.08,2022-01,41-60
I319997,C217049,Male,31,Clothing,5,1500.4,Credit Card,04/03/2021,Istinye Park,7502,2021-03,26-40
I275695,C297711,Female,65,Books,5,75.75,Cash,08/09/2022,Mall of Istanbul,378.75,2022-09,60+
I107255,C211354,Female,63,Souvenir,1,11.73,Cash,09/08/2021,Metrocity,11.73,2021-08,60+
I301538,C281864,Female,57,Food & Beverage,4,20.92,Cash,10/08/2021,Mall of Istanbul,83.68,2021-08,41-60
I119469,C234177,Female,59,Clothing,1,300.08,Debit Card,03/03/2021,Metropol AVM,300.08,2021-03,41-60
I177957,C653357,Male,65,Clothing,4,1200.32,Cash,07/04/2021,Cevahir AVM,4801.28,2021-04,60+
I527111,C218706,Female,21,Food & Beverage,2,10.46,Debit Card,10/05/2022,Metropol AVM,20.92,2022-05,18-25
I152252,C321931,Female,33,Books,5,75.75,Credit Card,04/05/2021,Mall of Istanbul,378.75,2021-05,26-40
I381853,C124933,Female,41,Cosmetics,3,121.98,Credit Card,12/06/2022,Emaar Square Mall,365.94,2022-06,41-60
I926542,C248988,Female,45,Toys,1,35.84,Debit Card,03/05/2021,Kanyon,35.84,2021-05,41-60
I263473,C162574,Female,58,Shoes,3,1800.51,Credit Card,08/02/2021,Kanyon,5401.53,2021-02,41-60
I941223,C291911,Female,53,Clothing,5,1500.4,Credit Card,02/03/2023,Emaar Square Mall,7502,2023-03,41-60
I323436,C153958,Male,39,Food & Beverage,5,26.15,Debit Card,05/06/2022,Kanyon,130.75,2022-06,26-40
I245250,C125209,Female,21,Shoes,1,600.17,Cash,02/05/2022,Mall of Istanbul,600.17,2022-05,18-25
I589196,C320640,Female,51,Toys,1,35.84,Credit Card,12/01/2022,Mall of Istanbul,35.84,2022-01,41-60
I846943,C134691,Female,50,Cosmetics,4,162.64,Cash,01/06/2023,Mall of Istanbul,650.56,2023-06,41-60
I131492,C729802,Male,61,Food & Beverage,3,15.69,Cash,12/08/2021,Kanyon,47.07,2021-08,60+
I571614,C208545,Female,31,Souvenir,4,46.92,Debit Card,01/07/2022,Istinye Park,187.68,2022-07,26-40
I946433,C387164,Female,29,Technology,4,4200,Debit Card,02/02/2023,Kanyon,16800,2023-02,26-40
I557864,C135196,Female,33,Clothing,1,300.08,Cash,11/09/2021,Mall of Istanbul,300.08,2021-09,26-40
I721903,C284031,Male,29,Food & Beverage,2,10.46,Cash,01/09/2023,Mall of Istanbul,20.92,2023-09,26-40
I423124,C109593,Female,66,Clothing,1,300.08,Cash,01/07/2023,Metrocity,300.08,2023-07,60+
I334469,C221607,Male,46,Toys,5,179.2,Cash,07/04/2021,Kanyon,896,2021-04,41-60
I307376,C253248,Female,22,Food & Beverage,5,26.15,Credit Card,08/11/2022,Metrocity,130.75,2022-11,18-25
I136509,C290760,Female,55,Cosmetics,4,162.64,Cash,08/02/2021,Mall of Istanbul,650.56,2021-02,41-60
I194798,C258089,Male,41,Technology,2,2100,Cash,07/07/2022,Mall of Istanbul,4200,2022-07,41-60
I206026,C225105,Female,27,Books,1,15.15,Cash,11/12/2022,Forum Istanbul,15.15,2022-12,26-40
I434161,C246484,Female,48,Clothing,2,600.16,Credit Card,05/03/2021,Metropol AVM,1200.32,2021-03,41-60
I137065,C736428,Female,46,Food & Beverage,4,20.92,Cash,01/01/2022,Mall of Istanbul,83.68,2022-01,41-60
I950429,C248884,Female,42,Cosmetics,2,81.32,Debit Card,03/09/2022,Kanyon,162.64,2022-09,41-60
I149766,C197308,Female,48,Cosmetics,3,121.98,Cash,04/02/2022,Mall of Istanbul,365.94,2022-02,41-60
I150629,C175449,Female,43,Clothing,3,900.24,Cash,12/10/2022,Kanyon,2700.72,2022-10,41-60
I197620,C249092,Male,26,Food & Beverage,2,10.46,Cash,04/08/2022,Metrocity,20.92,2022-08,26-40
I730771,C432132,Male,23,Clothing,5,1500.4,Debit Card,08/05/2022,Metrocity,7502,2022-05,18-25
I873382,C289802,Female,54,Shoes,4,2400.68,Credit Card,01/07/2023,Metrocity,9602.72,2023-07,41-60
I153278,C127945,Female,37,Toys,2,71.68,Cash,06/04/2022,Mall of Istanbul,143.36,2022-04,26-40
I299533,C282395,Female,40,Food & Beverage,3,15.69,Credit Card,09/09/2022,Kanyon,47.07,2022-09,26-40
I454983,C737782,Male,28,Souvenir,5,58.65,Debit Card,04/12/2022,Mall of Istanbul,293.25,2022-12,26-40
I338302,C123201,Male,49,Cosmetics,4,162.64,Debit Card,10/03/2021,Viaport Outlet,650.56,2021-03,41-60
I168181,C805154,Male,22,Clothing,3,900.24,Credit Card,07/01/2021,Metrocity,2700.72,2021-01,18-25
I108543,C330021,Female,67,Clothing,5,1500.4,Debit Card,07/08/2022,Viaport Outlet,7502,2022-08,60+
I120615,C107668,Female,22,Toys,2,71.68,Credit Card,02/02/2022,Istinye Park,143.36,2022-02,18-25
I248840,C209722,Female,26,Clothing,3,900.24,Cash,11/10/2022,Mall of Istanbul,2700.72,2022-10,26-40
I283774,C210614,Female,42,Toys,1,35.84,Debit Card,01/01/2023,Istinye Park,35.84,2023-01,41-60
I212305,C212378,Female,45,Books,1,15.15,Credit Card,11/06/2021,Emaar Square Mall,15.15,2021-06,41-60
I111228,C313586,Female,43,Clothing,1,300.08,Credit Card,04/09/2021,Kanyon,300.08,2021-09,41-60
I214545,C111827,Male,40,Souvenir,4,46.92,Cash,12/05/2021,Metropol AVM,187.68,2021-05,26-40
I213589,C203955,Male,68,Technology,2,2100,Cash,10/12/2021,Viaport Outlet,4200,2021-12,60+
I291062,C209122,Female,56,Cosmetics,4,162.64,Credit Card,03/05/2023,Kanyon,650.56,2023-05,41-60
I103389,C231964,Male,19,Cosmetics,1,40.66,Cash,05/09/2021,Kanyon,40.66,2021-09,18-25
I140596,C291641,Female,18,Cosmetics,2,81.32,Cash,09/11/2021,Metrocity,162.64,2021-11,18-25
I115322,C315386,Male,55,Food & Beverage,1,5.23,Credit Card,10/01/2021,Forum Istanbul,5.23,2021-01,41-60
I273800,C290158,Female,53,Cosmetics,2,81.32,Cash,08/01/2021,Mall of Istanbul,162.64,2021-01,41-60
I384332,C226218,Female,69,Cosmetics,1,40.66,Cash,09/04/2021,Metrocity,40.66,2021-04,60+
I146305,C118742,Female,36,Food & Beverage,2,10.46,Cash,07/11/2022,Kanyon,20.92,2022-11,26-40
I648743,C218295,Female,61,Shoes,5,3000.85,Debit Card,01/02/2023,Mall of Istanbul,15004.25,2023-02,60+
I480974,C230305,Male,34,Food & Beverage,2,10.46,Debit Card,05/10/2021,Mall of Istanbul,20.92,2021-10,26-40
I273435,C282097,Male,59,Food & Beverage,4,20.92,Credit Card,11/06/2021,Emaar Square Mall,83.68,2021-06,41-60
I127616,C179726,Male,24,Books,5,75.75,Debit Card,12/12/2021,Kanyon,378.75,2021-12,18-25
I893043,C838282,Female,63,Clothing,5,1500.4,Credit Card,11/11/2022,Kanyon,7502,2022-11,60+
I162565,C755148,Female,69,Clothing,2,600.16,Credit Card,07/04/2022,Istinye Park,1200.32,2022-04,60+
I300520,C282107,Female,36,Books,3,45.45,Credit Card,02/02/2023,Metrocity,136.35,2023-02,26-40
I299480,C167158,Male,44,Shoes,2,1200.34,Credit Card,12/09/2022,Metrocity,2400.68,2022-09,41-60
I134272,C318225,Female,35,Toys,1,35.84,Debit Card,12/01/2022,Metropol AVM,35.84,2022-01,26-40
I128518,C101108,Female,66,Shoes,1,600.17,Debit Card,09/06/2021,Mall of Istanbul,600.17,2021-06,60+
I293208,C103073,Male,61,Shoes,1,600.17,Cash,02/07/2022,Mall of Istanbul,600.17,2022-07,60+
I251779,C555827,Male,55,Toys,5,179.2,Debit Card,03/12/2022,Zorlu Center,896,2022-12,41-60
I843249,C211245,Male,53,Cosmetics,4,162.64,Cash,01/04/2021,Kanyon,650.56,2021-04,41-60
I230983,C321993,Female,49,Clothing,1,300.08,Credit Card,03/02/2023,Kanyon,300.08,2023-02,41-60
I374693,C284366,Female,20,Food & Beverage,2,10.46,Cash,11/03/2021,Istinye Park,20.92,2021-03,18-25
I649554,C156360,Female,63,Toys,3,107.52,Debit Card,08/02/2021,Kanyon,322.56,2021-02,60+
I570709,C140082,Male,58,Shoes,1,600.17,Debit Card,09/08/2021,Cevahir AVM,600.17,2021-08,41-60
I251307,C240510,Male,58,Shoes,1,600.17,Debit Card,01/01/2022,Mall of Istanbul,600.17,2022-01,41-60
I117277,C292758,Male,47,Clothing,1,300.08,Credit Card,01/11/2023,Istinye Park,300.08,2023-11,41-60
I135134,C130016,Female,51,Cosmetics,1,40.66,Credit Card,03/01/2021,Metrocity,40.66,2021-01,41-60
I263185,C316261,Male,33,Clothing,5,1500.4,Cash,03/09/2021,Kanyon,7502,2021-09,26-40
I137332,C205731,Male,50,Shoes,4,2400.68,Cash,05/03/2021,Istinye Park,9602.72,2021-03,41-60
I632642,C266021,Female,52,Souvenir,5,58.65,Cash,03/12/2022,Mall of Istanbul,293.25,2022-12,41-60
I234673,C245349,Male,69,Food & Beverage,4,20.92,Credit Card,07/08/2021,Metropol AVM,83.68,2021-08,60+
I138615,C644605,Female,41,Clothing,5,1500.4,Debit Card,10/07/2021,Kanyon,7502,2021-07,41-60
I116541,C293936,Female,25,Toys,2,71.68,Cash,07/09/2021,Viaport Outlet,143.36,2021-09,18-25
I115338,C193298,Female,20,Clothing,3,900.24,Credit Card,09/01/2021,Emaar Square Mall,2700.72,2021-01,18-25
I153790,C236969,Female,47,Cosmetics,1,40.66,Cash,05/09/2021,Viaport Outlet,40.66,2021-09,41-60
